numAssets, numFactors, riskModelType, costParameter, costsOnOff, fullyInvested, longShortOnOff, maxNumAssetsInOptimisedPortfolio, maxNumTradesInOptimisedPortfolio, maxShortLongRatio, minAssetTrade, minAssetWeight, minShortLongRatio, numLinearConstraints, numFrontierIncrements, optimisationTechnique, returnParameter, reviseOnOff, roundLotsOnOff, turnoverConstraint, isRiskConstrained, minRisk, maxRisk, numCompositeAssets
692, 43, 1, 1.0E-4, 1, 0, 0, 450, -1, -1.0, -1.0, -1.0, -1.0, 1, 10, 0, 0.0, 1, 0, -1, false, 0.0, 0.0, 0
alphas, assetNames, benchmarkPortfolio, specificVariance, initialPortfolio, buyCost, minLot, sellCost, sizeLot, rMFactor1, rmFactor2, rmFactor3, rmFactor4, rmFactor5, rmFactor6, rmFactor7, rmFactor8, rmFactor9, rmFactor10, rmFactor11, rmFactor12, rmFactor13, rmFactor14, rmFactor15, rmFactor16, rmFactor17, rmFactor18, rmFactor19, rmFactor20, rmFactor21, rmFactor22, rmFactor23, rmFactor24, rmFactor25, rmFactor26, rmFactor27, rmFactor28, rmFactor29, rmFactor30, rmFactor31, rmFactor32, rmFactor33, rmFactor34, rmFactor35, rmFactor36, rmFactor37, rmFactor38, rmFactor39, rmFactor40, rmFactor41, rmFactor42, rmFactor43, linearConstraint1, lowerBoundAssetWeight, upperBoundAssetWeight
-0.0037895875000000002, GBP.0003128, 1.0406202096449482E-4, 0.020917875, 1.0598311579592725E-4, 0.0020, 0.0, 0.0020, 0.0, -0.179324, -0.3805766, -0.7457381, 2.026303, 1.099212, 0.9798803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,0, 1.0
0.0017899325, GBP.0004455, 0.006043601986784123, 0.0063850366666666665, 0.0056499871926968025, 0.0020, 0.0, 0.0020, 0.0, 1.993532, 0.4633088, 0.08402803, 0.8268292, 1.241389, 1.602887, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
-0.008358606250000001, GBP.0005588, 1.0906500274163401E-4, 0.007556015, 0.0, 0.0020, 0.0, 0.0020, 0.0, -0.1541285, -0.2831255, -0.7603441, -0.09562402, -0.6582044, 0.9912834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
-0.00331672, GBP.0006655, 2.771651904535103E-4, 0.0015290775, 0.0, 0.0020, 0.0, 0.0020, 0.0, 0.3429897, -0.5073255, -0.2621536, -0.7514348, -0.4026685, 0.9735632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
0.027258637500000002, GBP.0010979, 8.204890114508246E-5, 0.04493788333333334, 9.96164061651069E-5, 0.0020, 0.0, 0.0020, 0.0, -0.3098649, 3.325647, 1.804531, 3.501132, 3.112608, 1.642758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
1.173335875E-4, GBP.0013075, 1.951162893084278E-4, 0.011275283333333334, 2.796950428317999E-4, 0.0020, 0.0, 0.0020, 0.0, 0.3134962, -0.1917902, 0.07919165, -0.7487451, -0.1307949, 1.239399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
8.33385625E-4, GBP.0015402, 7.09422815998335E-4, 0.009869891666666667, 9.002120265638027E-4, 0.0020, 0.0, 0.0020, 0.0, 0.8497803, -0.3605612, 0.1747274, -1.299611, 0.03185471, 1.198351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
-0.00247781875, GBP.0016308, 1.310781225610464E-4, 0.004816609166666667, 0.0, 0.0020, 0.0, 0.0020, 0.0, -0.05768958, -0.1207255, -0.1920227, -0.5922567, -0.7404333, 0.866145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
-8.85917E-4, GBP.0017505, 1.4108408611532473E-4, 0.0015644608333333333, 0.0, 0.0020, 0.0, 0.0020, 0.0, -0.04956857, -0.5574062, -0.0364284, -0.5283995, -0.2402212, 1.246801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
-0.00824812625, GBP.0018304, 0.0010806440638620619, 3.7306533333333333E-4, 8.98126822067033E-4, 0.0020, 0.0, 0.0020, 0.0, 1.070804, -0.503337, -0.6964804, -0.8670149, -0.9390547, 1.048225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
